店名,種類,地址,評價,評分人數
大有素食,restaurant,540台灣南投縣南投市龍井街7號,4.5,560
老山羊素食,restaurant,540台灣南投縣南投市從光華二路旁邊的小路彎進來市場,4.8,99
覺音禪苑-覺饌食匯,restaurant,542台灣南投縣草屯鎮北投路291之1號,5.0,168
素味謀麵,restaurant,540台灣南投縣南投市南陽路442號,5.0,15
滿濃素食鍋燒,restaurant,540台灣南投縣南投市民權街177號,4.6,103
賓飲涼品複合式蔬食餐飲,restaurant,540台灣南投縣南投市八卦路1262-1號,4.8,40
中興新村何媽鐵板餐,restaurant,540台灣南投縣南投市仁德路205號,4.5,239
素素如意,restaurant,540台灣南投縣南投市中山街232號,4.6,12
炸杏鮑菇,restaurant,540台灣南投縣南投市光華十路6-1號號,5.0,27
德慧素食,restaurant,540台灣南投縣南投市南陽路118號,4.8,28
圓月素食,restaurant,540台灣南投縣南投市大同街121號,5.0,26
素食小吃麵攤,restaurant,540台灣南投縣南投市彰南路二段575號,4.5,126
日日初食 （店休3/13～3/18）,restaurant,540台灣南投縣南投市光明南路47號,4.5,199
善緣水煎包,restaurant,540台灣南投縣南投市復興路451號,4.8,52
「埒」素食麵,restaurant,540台灣南投縣南投市育樂一街3-1號,4.8,4
弘昌素食館,restaurant,54064台灣南投縣南投市彰南路三段30號,4.7,13
石家慈心素食,restaurant,540台灣南投縣南投市育樂路165號,5.0,3
光明素食館（濟公齋）,restaurant,542台灣南投縣草屯鎮中正路867號,4.7,19
小素苗蔬食早午餐,restaurant,540台灣南投縣南投市平和街18號,4.5,129
阿美素食,restaurant,540台灣南投縣南投市育樂路57號,4.5,17
春和素食,restaurant,540台灣南投縣南投市公園街,5.0,1
健康蔬食坊,restaurant,551台灣南投縣名間鄉員集路67-3號,4.5,94
妙菩提素食餐館,restaurant,551台灣南投縣名間鄉南雲路29-3行號,4.6,87
MARSHA MANOR瑪爾夏莊園（咖啡、簡餐）‘’預約制‘’,"restaurant, store",551004台灣南投縣名間鄉松嶺街180號受天宮第二停車場公廁後方,4.9,98
雪亮傳統米食,restaurant,551台灣南投縣名間鄉董門巷21之4號,4.7,131
花果蔬-嚴選蔬食|在地蔬食餐廳（無提供洗手間）-|蔬食產品|,restaurant,557台灣南投縣竹山鎮集山路三段275號,4.9,36
一畝田 豆花·仙草,store,551台灣南投縣名間鄉車站路12-3號,4.5,310
老担菩提素食,restaurant,557台灣南投縣竹山鎮集山路二段16之2號,4.8,125
木協台灣檜木坊,"restaurant, store",551台灣南投縣名間鄉出林虎路二段597號,4.6,271
青山素食部,restaurant,544台灣南投縣國姓鄉中興路44號,4.5,67
國姓佛心有機素食菜一中興路183號,restaurant,544台灣南投縣國姓鄉中興路183號,4.9,10
如意蔬食,restaurant,545台灣南投縣埔里鎮八德路246號,4.9,24
越南素食小吃,restaurant,545台灣南投縣埔里鎮中山路二段20-1號,4.5,709
