店名,種類,地址,評價,評分人數
妙音素食,restaurant,723台灣臺南市西港區新興街15巷9號,4.5,265
大馬爸爸 新馬食蔬坊,restaurant,701台灣臺南市東區府連東路23號,4.7,251
淞子坊健康素食／Vegville,restaurant,710台灣臺南市永康區永大路三段328號,4.5,453
家恩素食館,"meal_takeaway, restaurant",70970台灣台南市安南区海佃路二段225巷6-7號,4.6,156
林家素食,restaurant,704台灣臺南市北區長榮路四段34號,4.5,844
早安三股 中西式早午餐,restaurant,724台灣臺南市七股區27-6號,4.9,48
潘宜玲の珠寶盒（養生臭豆腐珠寶盒）,store,724台灣臺南市七股區龍山153-2號,4.7,499
玉慈香素食,restaurant,70966台灣臺南市安南區海佃路四段12號,4.6,95
發條橘子路素膳館,restaurant,710台灣臺南市永康區大仁街181巷12號,4.6,152
福賀美蔬食（素食）,restaurant,735台灣臺南市下營區中山路一段253號,5.0,2
一貫素食館,restaurant,73543台灣臺南市下營區茅營里1274號,4.5,10
新月義式蔬食,restaurant,730台灣臺南市新營區義和街25-2號,4.9,508
澄心小館｜地方美食｜午晚餐,restaurant,735台灣臺南市下營區中正北路15號,4.7,56
素食水煎包,restaurant,735台灣臺南市下營區中山路二段59號,5.0,6
老溫食堂本舖,restaurant,735台灣臺南市下營區中正南路236巷1號,4.5,82
恩潔素食,restaurant,734台灣臺南市六甲區龜子港288巷16號,4.8,173
尚好ㄟ菱角,restaurant,721001台灣臺南市麻豆區北勢里,5.0,4
上品素食（新營第一公有市場內）,restaurant,730台灣臺南市新營區復興路1-77號,4.6,219
鎂素廚房（素食餐館）,restaurant,730台灣臺南市新營區中華路93號,4.5,442
馮記餐飲,restaurant,735台灣臺南市下營區中山路二段61號,5.0,20
順利燻茶鵝,restaurant,735台灣臺南市下營區中興南路157之1號,4.7,62
阿安素食外燴,restaurant,730台灣臺南市新營區新北五街149號,5.0,39
七嬸婆炊粿,restaurant,735台灣臺南市下營區健康路213號,4.9,14
上慈素食便當、海苔飯捲、素食桌、炒飯、炒麵,restaurant,736台灣臺南市柳營區中山西路一段93號,4.7,174
火星 碳烤三明治 鐵板炒飯 拉麵,restaurant,735台灣臺南市下營區中山路一段49號,4.9,21
i蔬活手工蔬食披薩-台南種籽1號店,"meal_takeaway, restaurant",704台灣臺南市北區開南街133號,5.0,64
Loving Hut愛家國際餐飲 台南慶中店,restaurant,700台灣臺南市中西區慶中街180號,4.5,298
舒濃蔬食料理,restaurant,700台灣臺南市中西區大同路一段246號,4.7,113
自然熟clean & wild eats,restaurant,70043台灣台南市中西区民族路二段57巷1-2號,4.5,1040
日月禪食養生蔬食館,restaurant,70051台灣臺南市中西區南寧街68號,4.5,276
愛尼香豆腐 酵素臭豆腐 素食 六日公休,"meal_takeaway, restaurant",700台灣臺南市中西區大同路一段38號,4.5,383
一品肉圓 葷.素專賣店,restaurant,700台灣臺南市中西區民權路三段216號,4.6,322
村吉蔬素食養生創意料理,restaurant,700台灣臺南市中西區海安路二段296巷38號,4.6,355
太郎中華拉麵 純素,restaurant,700台灣臺南市中西區新美街2號,4.5,1567
欣自然蔬食,restaurant,704台灣臺南市北區成功路428號,4.6,65
小孩吃素(台南新美店),"bar, restaurant, store",700台灣臺南市中西區新美街120號,4.6,1250
原金華素食鹽酥雞,restaurant,700台灣臺南市中西區西門路一段703巷6-1號,4.5,31
純古味素食,restaurant,700台灣臺南市中西區府前路一段105號,4.7,295
蔬禾飯店Vegan,restaurant,700台灣臺南市中西區新美街216號,4.9,92
純素食堂,restaurant,700台灣臺南市中西區中正路138巷7號,4.7,183
種素素食早午餐Zone Su brunch｜ Vegetarian ｜Vegan｜Gluten Free,restaurant,70059台灣臺南市中西區民權路三段51號,4.7,452
究素烏龍麵店,restaurant,700台灣臺南市中西區青年路25號,4.8,113
南方安逸 Harbour Fantasy,"bar, restaurant, store","號 No. 144神農街, 中西區臺南市台灣 700",4.5,169
尚品丰禾食(素食日料/壽司/串燒)(收客至2030),restaurant,700台灣臺南市中西區慶中街196號,4.8,772
林家素食,restaurant,702台灣臺南市南區長南街52號,4.6,607
獨蔬人蔬食,restaurant,70450台灣臺南市北區西門路四段1巷18號,4.7,297
慧音素食茶莊（ 只開禮拜六、日）,"restaurant, store",704台灣臺南市北區海成街42號,4.5,432
三津制麵x水萬湯麵Vegan,restaurant,700台灣臺南市中西區建安街70號,4.8,214
小來刈包專賣,store,700台灣臺南市中西區公園路121號,4.8,526
好田·米鬆餅,restaurant,70053台灣臺南市中西區宮後街16號,4.9,311
森饗創意蔬食,restaurant,710台灣臺南市永康區崑大路216號,4.9,133
保安市場一樓-素食,restaurant,700台灣臺南市中西區郡西路35號1f,4.5,4
小碟子vegan手作蔬食,restaurant,701台灣臺南市北區成功路644巷No. 12號,4.6,229
文南蔬食,restaurant,702013台灣臺南市南區文南路283號,4.5,65
正德台南愛心廚房,restaurant,700台灣臺南市中西區民生路二段181號,4.6,38
Bonjour輕食早午餐,restaurant,700台灣臺南市中西區西寧街102號,4.5,510
三津制麵｜台南市場店,"restaurant, store",704台灣臺南市北區成功路148號,4.7,449
双仔咖啡,"cafe, store",700台灣臺南市中西區南門路189號,5.0,143
歐莫炸雞所 X 炸雞叛徒俱樂部（韓式全植物肉炸雞）,restaurant,700台灣臺南市中西區國華街二段117-1號,4.9,1062
小鹿日嚐早午餐,restaurant,704台灣臺南市北區文賢路313巷66號,4.8,258
武聖素食,restaurant,700台灣臺南市中西區武聖路69巷1號,4.5,29
滿室,"restaurant, store",700台灣臺南市中西區衛民街96巷10號,5.0,934
食在特蔬,restaurant,717台灣臺南市仁德區民安路一段306之6,4.9,115
（食在鄉）天然酵素臭豆腐,restaurant,717台灣臺南市仁德區中清路192號,4.9,237
綠蔬事務所(內用預約),restaurant,717台灣臺南市仁德區保安路二段637號,4.8,69
圓璞素食館（鹹酥G),restaurant,717台灣臺南市仁德區中正路二段186號,4.8,60
吉祥圓素食超市－仁德店,"grocery_or_supermarket, store, supermarket",717台灣臺南市仁德區林頂街49號,5.0,11
(原)光明街素食鹹酥雞,restaurant,717台灣臺南市仁德區中山路277號,5.0,4
日珍素食,"grocery_or_supermarket, restaurant, store",717台灣臺南市仁德區中正路二段301巷11弄2號,4.7,7
好食光健康蔬食早餐,restaurant,717台灣臺南市仁德區仁義路26號,4.7,26
地果咖啡,"bakery, cafe, restaurant, store",71755台灣臺南市仁德區大同路三段838號,4.6,1526
聯芳小樹米食主義,restaurant,717台灣臺南市仁德區文賢路一段603號,4.6,345
詠安健康膳食,"health, meal_delivery, restaurant",717台灣臺南市仁德區民安路一段408號,4.5,167
明洞海苔飯捲仁德店,"restaurant, store",71743台灣臺南市仁德區中正路二段399號,4.8,413
象哥 潮州牛雜湯 當天限量賣完為止（可先預訂）,restaurant,717台灣臺南市仁德區仁義路19號,4.9,231
活佛素食餐廳 噴水池,,717台灣臺南市仁德區大同路三段858號,5.0,1
SOi 植物系甜點 VEGAN PÂTISSERIE,"restaurant, store",70163台灣臺南市東區裕平路312號,4.7,175
Ricci Caffè,"cafe, restaurant, store",71754台灣台南市仁德区中正路一段251巷25弄36號,4.7,265
來一片（營業時間異動麻煩請至粉專FB查閱）,restaurant,717台灣臺南市仁德區二空路82號,4.5,379
128餐館,restaurant,717台灣臺南市仁德區文善街128號,4.6,175
聚 日式鍋物 台南仁德中山店,restaurant,717台灣臺南市仁德區中山路777號,4.9,4516
臭灶腳—仁德總店 深坑臭豆腐,restaurant,717台灣臺南市仁德區中清路19號,4.5,727
上河野鍋物 仁德旗艦店（奇美博物館附近美食 十鼓文創園區附近美食 嘉藥附近美食 華醫附近美食 長榮附近美食 仁德平價鍋物）,restaurant,717台灣臺南市仁德區中正路一段223號,4.7,887
莎麗家庭餐廳 Sally Garden Home Kitchen,restaurant,717台灣臺南市仁德區文華路三段189巷92弄75號,4.6,136
鴨飯製造所（仁德店）,restaurant,717台灣臺南市仁德區中清路113號,4.7,177
素食炒臭豆腐,restaurant,722台灣臺南市佳里區仁愛路270號,4.5,153
双木林 • 健康餐-佳里店,restaurant,722台灣臺南市佳里區延平路185號,4.7,292
G•BURGER 佳里店 蔬食早午餐,restaurant,722台灣臺南市佳里區仁愛路317號一樓,4.6,49
佳里蔬菜炸丸子,restaurant,722台灣臺南市佳里區安西路,5.0,20
慈弘素食,restaurant,722台灣臺南市佳里區文化路216號,4.6,7
(佳里中山市場)全素手工春捲,restaurant,722台灣臺南市佳里區中山路271-273號,4.7,3
感恩素食,restaurant,722台灣臺南市佳里區中山路374號,4.7,7
台南佳里太王臭豆腐,restaurant,722台灣臺南市佳里區中和街88號,4.5,44
佛都愛玉佳里旗艦店(借問站),restaurant,722台灣臺南市佳里區成功路200號,4.5,591
發仔食堂,restaurant,722台灣臺南市佳里區文化路288號,4.8,104
北海洋生魚片,restaurant,722台灣臺南市佳里區安西路1號,4.9,53
蔡茄子鬆餅屋 eggplant Waffle,restaurant,72243台灣臺南市佳里區義民街237號,4.7,42
湧飯佳里店,restaurant,722台灣臺南市佳里區新生路322號,4.7,133
微笑素食外燴,store,722台灣臺南市佳里區祥和二街283號,4.8,19
老字號 · 佳里無名菜粽,restaurant,722台灣臺南市佳里區光復路365號,4.5,16
NU PASTA 台南佳里店,restaurant,722台灣臺南市佳里區光復路123號,4.9,7358
口感手工房,"meal_takeaway, restaurant",722台灣臺南市佳里區文化路532號,4.7,74
厝內豆花(營業時間以IG公告為主),restaurant,722台灣臺南市佳里區仁愛路350號1F,4.7,68
娜Na手作廚房,"restaurant, store",722台灣臺南市佳里區信義二街16號,4.6,1194
寶記粥麵館,restaurant,722台灣臺南市佳里區光復路151號,4.6,116
好日。comfort food,restaurant,722台灣臺南市佳里區安北路168巷1號,4.6,606
佳里阿彌專業臭豆腐,store,722台灣臺南市佳里區建中街98號,4.6,907
臭香臭豆腐,restaurant,734台灣臺南市六甲區民生街107號,4.8,18
慈雲素食,restaurant,"734台灣臺南市六甲區中正路734號號, No. 516",4.5,49
睿森林手作咖啡坊,"cafe, restaurant",73442台灣臺南市六甲區信義街87號,4.9,80
慈恩素食,restaurant,734台灣六甲區中正路,5.0,1
蔬菜餅,restaurant,734台灣臺南市六甲區仁愛街28號,4.7,12
綵珍素食早餐,restaurant,734台灣臺南市六甲區中正路394巷9-3號,4.8,6
一河漉蔬食餐,restaurant,70447台灣臺南市北區長榮路五段392號,4.9,90
文蔬素食餐坊（外帶專賣）,restaurant,70455台灣臺南市北區和緯路五段284巷5號,5.0,21
月德宴-品幻蔬食,restaurant,704台灣臺南市北區長榮路五段328號,4.7,362
佐岸時尚蔬食,restaurant,704台灣臺南市北區長榮路四段84巷10號,4.6,72
艾莎菈素食,restaurant,704台灣臺南市北區公園路420 號,4.8,153
"梅林蔬食壽司至少前一天""預約""""外帶""*如有不便盡請原諒*","meal_takeaway, restaurant",70457台灣臺南市北區小東路289-2號,5.0,42
長壽軒素食,restaurant,704台灣臺南市北區西門路四段101號,4.5,62
毛蔬 亞洲蔬食,restaurant,701台灣臺南市東區府東街43號1樓,4.6,1392
Saki 咲咖啡【 可麗露 咖哩 提拉米蘇 売る 】餐點現做建議提前訂位(❁´◡`❁)外帶餐點 可以電話預訂唷！,"restaurant, store",704台灣臺南市北區公園北路171號,4.9,239
豐盛蔬食燒烤(最後點餐23:40，預訂請加官方line並使用線上點餐頁面),"restaurant, store",704台灣臺南市北區小東路309號,4.7,102
安來素食簡餐,restaurant,704台灣臺南市北區北安路一段176巷48號,4.6,42
苷簞蔬食-裕農總店,restaurant,701台灣臺南市東區裕農路833號,4.6,469
蔬醒早午餐｜森心時光·療癒按摩,restaurant,704台灣臺南市北區育德路80號,4.8,60
阿滿素食,restaurant,704台灣臺南市北區文賢路614號,4.5,91
京阪素食館,"restaurant, store",701台灣臺南市東區前鋒路60巷1號,4.6,50
金門素食城,restaurant,710台灣臺南市永康區勝利街107巷70號,4.7,223
開心素食 Happy Vegetarian,restaurant,"No, No. 107北園街北區臺南市台灣 704",4.6,16
好食私人坊,restaurant,727台灣臺南市北門區號,4.8,91
聖淨素齋餐館,restaurant,726台灣臺南市學甲區中山路168之1號1 F,5.0,5
Preserve 台南新光小北門店,restaurant,70408台灣臺南市北區西門路四段135號1樓,4.7,207
素清香水煎包（家昕）,restaurant,726台灣臺南市學甲區成功路12號,5.0,12
慈喜緣素食超市.現炸蔬食鹹酥雞《下午營業》～麻豆素食專賣店,"grocery_or_supermarket, restaurant, store, supermarket",72147台灣臺南市麻豆區仁愛路11號,4.9,18
好耶人早午餐素食,restaurant,726台灣臺南市學甲區110之8號,5.0,4
夏夫小農 Shafarm vegetarian restaurant,"grocery_or_supermarket, restaurant, store",804台灣高雄市鼓山區裕興路101號,4.7,591
郭家食堂,restaurant,625008台灣嘉義縣布袋鎮300號,4.7,36
慈慧素食,restaurant,701台灣臺南市東區中華東路二段41巷56號,4.6,702
八寶閣御廚房,restaurant,708台灣臺南市安平區安億路360號,4.6,1399
素食菜丸子,restaurant,726台灣臺南市學甲區公有市場53攤,5.0,6
極圓素食坊,restaurant,712台灣臺南市新化區中山路1-48號,4.9,446
妙元素食坊(臺南市楠西區),restaurant,715台灣臺南市楠西區30之3號,4.5,134
小歇冰舖簡餐咖啡廳,"bakery, cafe, restaurant, store",716台灣臺南市南化區49號,4.9,1498
香榭灣火鍋簡餐廳,restaurant,716台灣臺南市南化區297號,4.5,265
理善蔬食坊,restaurant,741台灣臺南市善化區烏橋中路363號,4.5,624
誼方齋,restaurant,714台灣臺南市玉井區中山路122號,4.9,9
老街素食（新化老街/素食餐廳）,restaurant,712台灣臺南市新化區信義路194號,4.7,81
聖覺蔬食,restaurant,714台灣臺南市玉井區民族路155號,4.5,46
魔法森林景觀咖啡小餐館,restaurant,71442台灣臺南市玉井區1-8號,4.7,2743
鶯姊的店 南化美食 鈺鼎步道附近美食,restaurant,716台灣臺南市南化區北寮里,4.5,22
台3線387小館,restaurant,716台灣臺南市南化區18之1號,4.5,120
南化金光山 厚德紫竹寺,"place_of_worship, tourist_attraction",716台灣臺南市南化區東和108-1號,4.5,3047
素美味,restaurant,741台灣臺南市善化區樹人路75號,4.5,48
呷好寶素食,restaurant,714台灣臺南市玉井區民族路58號,4.6,220
梅嶺野店食堂,restaurant,715台灣臺南市楠西區31-29號,4.8,351
純鮮然蔬食飲品,store,741台灣臺南市善化區民權路125號,4.5,89
鄭家麵食店,restaurant,847台灣高雄市甲仙區和安街107號,4.8,14
店仔口茶飲專賣店（南化店）,,716台灣臺南市南化區58號,4.9,85
自然味素食 素披薩(玉井),restaurant,714台灣臺南市玉井區中山路264號,4.5,48
觀響素食鄉,restaurant,702台灣臺南市南區三官路7巷32號,4.5,246
玉井猴頭菇香菇頭,restaurant,714台灣臺南市玉井區中正路21巷第10號號攤位,5.0,1
玉泉餐廳,restaurant,714台灣臺南市玉井區30之60號,4.7,107
漢來蔬食 台南南紡店,restaurant,701台灣臺南市東區中華東路一段366號3樓,4.5,1917
行慈素食,restaurant,702台灣臺南市南區三官路230號,4.5,279
橘井草本園,"health, restaurant",714台灣臺南市玉井區沙田59之3號,5.0,3
二郎素食小攤(甲仙),restaurant,847台灣高雄市甲仙區和安街9號號,4.9,8
素食小館(玉井),restaurant,714台灣臺南市玉井區民主街64號,4.5,15
苷簞蔬食文化店,restaurant,701台灣臺南市東區中華東路三段336巷49號,4.8,303
蔬食品麵館,restaurant,702台灣臺南市南區大成路二段40號,4.8,104
溫記手作麵(僅此一店，公休請看臉書IG限動）,restaurant,702台灣臺南市南區仁南街40號,4.8,197
菩提緣,restaurant,702台灣臺南市南區金華路二段235號,4.6,70
立月麥面-唯自然豐蔬食廚房,restaurant,702台灣臺南市南區樹林街二段247號,5.0,68
鄭家素食麵焿,restaurant,702台灣臺南市南區尊南街202號,5.0,20
荷的素食燒烤，關東煮,restaurant,702台灣臺南市南區建南路89號巷8號,4.7,128
十三番地蔬食壽司、請先用Line ：@vkd1237u 預定外帶唷,"restaurant, store",708台灣臺南市安平區永華二街59巷37號,4.5,237
緣之素食蚵仔煎,restaurant,702台灣臺南市南區利南街211號,4.9,16
小孩吃素(台南崇仁店),"bar, restaurant, store",70151台灣臺南市東區崇仁街85號,4.6,415
康泰素食,restaurant,702台灣臺南市南區國華街一段84號,4.9,34
一滋獨嗅素食轉運站（臭豆腐蔬素食小吃攤）,restaurant,"267號旁, 號旁, No. 267永成路一段南區臺南市台灣 702",4.7,44
大自在素食小館,restaurant,702台灣臺南市南區賢南街14號,4.8,9
味珍素食烘焙坊,restaurant,702台灣臺南市南區大同路二段690號,4.5,94
存心堂 | 共生空間 Transheart Café & Hub｜共學社群 / 品牌孵化 / 生涯命理諮詢 / 最安全有脈絡的身心靈學習實踐中心,"restaurant, store",702003台灣臺南市南區大同路二段660號,5.0,26
良珍庭園素食,"restaurant, store",741台灣臺南市善化區220號,4.9,45
真味素食,restaurant,741台灣臺南市善化區民權路93號號,4.6,194
善化麒珍素食,restaurant,741台灣臺南市善化區中山路304-2號,4.5,134
蔬食小棧,restaurant,741台灣臺南市善化區中山路405號,4.5,55
玉詩越南素食美食,restaurant,741台灣臺南市善化區民生路270號,4.7,112
妙蓮素食,restaurant,741台灣臺南市善化區中山路245號中華電信協對面,4.7,41
天昇素食,,741台灣臺南市善化區號,4.8,36
善化素食炸炸（杏鮑菇、炒飯麵、鍋燒）,restaurant,741台灣臺南市善化區大同路395號,4.9,17
八寶食堂善化店,restaurant,741台灣臺南市善化區陽光大道183號,5.0,1258
大內安順素食,restaurant,742台灣臺南市大內區276之3號,4.5,14
儒慧實業有限公司,,74246台灣台南市大内区390號,4.7,19
妙哉素食,restaurant,743台灣臺南市山上區327-8 號,4.8,8
過去珈琲,"cafe, store",742台灣臺南市大內區2-12號,4.9,223
森甜秘境_STMJ cafe,"restaurant, store",714台灣臺南市玉井區89之16號,4.6,880
大內麥基香雞排,restaurant,742台灣臺南市大內區,4.9,30
林家素食館,restaurant,829台灣高雄市湖內區湖中路318巷50號,4.8,70
學甲越鄉 脆皮烤乳豬,restaurant,726台灣臺南市學甲區華宗路322號,4.7,33
好姿位麵館,restaurant,726台灣臺南市學甲區中山路73號,4.6,101
素食早餐,restaurant,726台灣臺南市學甲區成功路23號,5.0,2
阿森海鮮粥,restaurant,726台灣臺南市學甲區成功路15號,5.0,22
周式 3色尋飽館 學甲店,restaurant,726台灣臺南市學甲區中正路250之6號,4.6,57
均姊姊冰花煎餃 (黃金煎餃 炒泡麵),restaurant,726台灣臺南市學甲區中山路118之2號,4.7,9
慈宇蔬食,restaurant,709台灣臺南市安南區安中路一段829號,4.9,41
美味素食館-鐵板麵/飯（特價50元）,restaurant,709台灣臺南市安南區安中路一段702巷92號,4.9,61
御素界平價素食,restaurant,709台灣臺南市安南區海佃路一段213巷45號,4.6,167
台灣e素,restaurant,709台灣臺南市安南區海中街146-1號,4.8,13
素食店/便當/蛋包飯/鍋燒意麵/臭豆腐,restaurant,709042台灣臺南市安南區安中路三段400巷49號第三分局旁巷進來,4.8,35
（圓妹）因參加超級馬拉松訓練，即日起營業時間已變更喔，感恩再感恩,restaurant,709台灣臺南市安南區海佃路二段523號,4.5,202
阿枝素食,restaurant,709台灣臺南市安南區安和路四段13號,4.9,27
隨緣素食自助餐,restaurant,709台灣臺南市安南區海佃路一段243巷38號,4.9,12
丸食廚房,restaurant,70966台灣臺南市安南區安中路三段153巷16號,4.9,168
幸福館蔬食,restaurant,709台灣臺南市安南區海佃路三段16號,4.6,9
廣佶達素食商店(安南店,"grocery_or_supermarket, health, store",709003台灣臺南市安南區怡安路二段182號,5.0,41
台南素食章魚燒,"meal_takeaway, restaurant",709台灣臺南市安南區國安街10巷15號,4.5,176
安南區果菜市場攤位,restaurant,709台灣臺南市安南區怡安路二段102號(第8棟,4.5,77
素食店,restaurant,70941台灣臺南市安南區安和路一段262號,4.5,28
陽光素食,store,709台灣臺南市安南區怡安路二段102號,4.9,11
【力康天然食品屋】養生外帶蔬食餐盒小菜/無添加食品/有機綠拿鐵精力湯/小農蔬果/維健寶蔬菜粉,"grocery_or_supermarket, health, restaurant, store",70944台灣臺南市安南區頂安街42號,4.7,76
李記飯糰-國安街養生紫米飯糰專賣店|海苔、牛蒡、泡菜、燒肉、柴魚、肉鬆、綜合、素食飯糰,restaurant,709台灣臺南市安南區國安街98號,4.7,17
YUMYUM 原本天然蔬果麵條專賣,"grocery_or_supermarket, restaurant, store",709台灣臺南市安南區本原街二段513巷12號,5.0,14
有緣素食快炒,restaurant,"No. 22, No. 22號平生路安平區臺南市台灣 708",4.6,212
天賜素食,restaurant,709台灣臺南市安南區安和路一段488號,4.7,3
妙心素食,restaurant,745台灣臺南市安定區港口140號之14,4.7,55
喜緣心素食,restaurant,745台灣臺南市安定區12643號,4.5,58
饗翻天mini鍋物-安定店,restaurant,745台灣臺南市安定區36-3號,5.0,190
素食,restaurant,745台灣臺南市安定區101 之 7,5.0,6
蔬果子蔬食料理安平店,restaurant,708台灣臺南市安平區永華路二段791號,4.6,54
薩達印度蔬食料理餐館,restaurant,"一樓, No. 708號永華路二段安平區臺南市台灣 708",4.9,576
船家堡食尚工藝,restaurant,708台灣臺南市安平區效忠街71號,4.5,405
大員蔬食（冷凍食品專賣）（無熟食）,store,708台灣臺南市安平區平通路592號,4.7,40
Flavor life 玩趣廚房,restaurant,708台灣臺南市安平區建平八街422號,4.9,47
綠竹素食館,restaurant,708台灣臺南市安平區安北路404號,4.6,150
梅花蔬食鍋燒,restaurant,70850台灣臺南市安平區安北路22號,4.9,17
居心地安平,restaurant,708台灣臺南市安平區安平路500巷28號,4.7,199
紅番茄素食自助餐,restaurant,708台灣臺南市安平區郡平路153號,4.5,208
秋的朝食,restaurant,708台灣臺南市安平區育平九街372巷4號,4.8,48
寓･永恆,"meal_takeaway, restaurant, store",708台灣臺南市安平區永華路二段41號2樓,4.5,3130
夢東籬-永華店,restaurant,708台灣臺南市安平區永華路二段707號,4.6,1959
府都古味軒,"bakery, restaurant, store, tourist_attraction",708台灣臺南市安平區安平路514號,5.0,38
食味三千｜義大利麵｜燉飯｜鹹派,restaurant,708台灣臺南市安平區古堡街90巷3號,4.7,179
香森Caf'e,"restaurant, store",708台灣臺南市安平區建平七街730號,4.9,133
睦月堂 日本料理,restaurant,70843台灣臺南市安平區育平七街80巷42號,4.9,88
素食早午餐（手工水餃、麵線焿）,restaurant,720台灣臺南市官田區烏山頭56-6號,5.0,6
灶咖｜咖哩簡餐茶飲專賣店,restaurant,725台灣臺南市將軍區108號,4.6,40
漚汪鍋燒意麵,restaurant,725台灣臺南市將軍區西華65之48號,4.7,23
樂咖農場健康農產園區,,725台灣臺南市將軍區82-60號,5.0,190
象仔海產,restaurant,725台灣臺南市將軍區鯤溟99號,4.6,106
冰棧素食,restaurant,723台灣臺南市西港區新興街14-2號,5.0,4
化石館桶仔雞小炒,restaurant,713台灣臺南市左鎮區62之28號,4.8,172
化食館烤雞,restaurant,713台灣臺南市左鎮區56-5號,4.9,57
鄉土情土雞小吃,restaurant,713台灣臺南市左鎮區19號,4.5,255
隱田山房,"cafe, restaurant",714台灣臺南市玉井區10號,4.6,4459
榮哥ㄟ 桶仔雞,restaurant,713台灣臺南市左鎮區內庄子段185號,4.5,37
2031幸福包裝場（網路看到的菜單不一定是現在的菜單喔！）,restaurant,71442台灣臺南市玉井區8鄰層林133之10號,4.7,327
膳緣素食,restaurant,718台灣臺南市關廟區成功路393號,4.8,20
阿美土雞城,restaurant,713台灣臺南市左鎮區68號,4.5,80
山分甜茶館,restaurant,744台灣臺南市新市區光華街115號,4.5,87
左鎮阿嬷阿娥的店（木瓜肉粽、花生肉粽、香菇碗粿、花生鹹粿、粳仔粿和味增湯）,restaurant,713台灣臺南市左鎮區中正139號,4.6,197
天然素食,restaurant,711台灣臺南市歸仁區中山路二段21號,4.5,81
正新蔬食早午餐店,"cafe, restaurant",712台灣台南市新化区民治路43巷42號1 樓,4.8,108
品味現製素麵館,restaurant,711台灣臺南市歸仁區中正二街15號,4.6,408
素食麵,restaurant,718台灣臺南市關廟區中山路一段330號,4.8,75
素食越南法國麵包,restaurant,711台灣臺南市歸仁區中正南路三段305號,4.9,84
祝清香素食,restaurant,712台灣臺南市新化區護安街53號,5.0,1
三千院,restaurant,714002台灣臺南市玉井區層林1之8號,4.7,2143
噶瑪噶居寺,"place_of_worship, tourist_attraction",713台灣臺南市左鎮區左鎮里91-2號,4.6,2548
彌音素麵館,restaurant,718台灣臺南市關廟區中正路1032號,4.5,210
素食軒,restaurant,"號 No. 19中山路三段南保里, 歸仁區臺南市台灣 711",4.5,107
臺南左鎮化石園區,"museum, tourist_attraction",713台灣臺南市左鎮區61-23號,4.5,11715
植福田老陶家,restaurant,"731台灣台南市后壁区64號 如找不到可直接至Google Map 上打：23.332192n,120.35760e",4.6,34
兔子兜兜-義大利麵/燉飯/草本茶,restaurant,731台灣臺南市後壁區147-18號,4.9,114
阿月越南素食麵,restaurant,730台灣臺南市新營區中正路229號,4.8,29
菩提綠食餐飲,restaurant,732台灣臺南市白河區中正路159號,4.9,10
芳津素食,restaurant,737台灣臺南市鹽水區朝琴路186號,4.5,173
菁寮囝仔,"bakery, store",731台灣台南市后壁区340 號,4.9,792
回家蔬飯 𝐂ღ𝐦𝐞 𝐕𝐞𝐠𝐚𝐧 𝐇ღ𝐦𝐞,restaurant,612台灣嘉义县太保市25-1號,4.7,59
i 蔬活蔬食披薩創始店｜週一週二固定公休｜初一十五正常營業|下午茶,"restaurant, store",730台灣臺南市新營區三民路6-2號,4.9,157
天然素食,restaurant,73065台灣臺南市新營區延平路62號,4.6,90
步穀農創館〈OK物流-後壁步穀店〉,"furniture_store, home_goods_store, store",731台灣臺南市後壁區墨林里菁寮346號,4.6,122
安和素食,restaurant,730台灣臺南市新營區復興路268號,4.6,105
同德素食,restaurant,730台灣臺南市新營區民治路300巷18號,4.5,115
米樂豬排飯,restaurant,730台灣臺南市新營區民族路7-11號,4.7,109
盛齋素食館,restaurant,733台灣臺南市東山區中興路177號台南市東山區,4.8,5
元德素食麵食館,restaurant,730台灣臺南市新營區興農街7號,4.7,35
又見傳奇,restaurant,730台灣臺南市新營區東興路245號,4.7,140
稻茄（預約制）,restaurant,731台灣臺南市後壁區里215號,4.9,80
正德新營愛心廚房,restaurant,730台灣臺南市新營區開元路57號,4.6,15
白河講堂,restaurant,732台灣臺南市白河區122之19號,5.0,2
隨園食鍋 Be Garden,restaurant,730台灣臺南市新營區東興路247號,4.8,772
大新素食,restaurant,732台灣臺南市白河區文明街21號,4.7,14
憲忠師中西式素食早餐,restaurant,744台灣臺南市新市區華興街20號,4.7,29
寶養蔬食自助餐,restaurant,744台灣臺南市新市區仁愛街277號,4.5,63
米楠印度料理,restaurant,744台灣臺南市新市區華興街30號,4.9,352
柒樓餐廚空間（預約用餐）,restaurant,744台灣臺南市新市區中正路301巷17號7樓,5.0,26
YASIF 亞希弗拿波里窯烤披薩（3/22星期日不營業,"meal_takeaway, restaurant",744台灣臺南市新市區富安路613號,4.8,56
素食薏仁粥,restaurant,744台灣臺南市新市區華興街32號,4.7,15
鳳蒔咖啡館,"cafe, restaurant, store",744台灣臺南市新市區和平街168巷36號,4.9,150
166好食廚房,restaurant,744台灣臺南市新市區社內166號,4.7,97
吃蔬肥吧低卡餐廚,restaurant,744台灣台南市新市区仁爱街306號一樓之18,4.5,30
健康小館,restaurant,744台灣臺南市新市區130-6號,4.5,24
元福壽司日料食堂,restaurant,744台灣臺南市新市區富強路19號,4.9,283
Mr.Wheat 小麥先生創意料理 - 新市創始店,restaurant,744台灣臺南市新市區富林路352號,4.6,4224
YO義思-新市店,restaurant,74446台灣臺南市新市區社內2之4號,4.6,568
